sample_index,sample_id,label,class_code,origin_zh,source_cube,source_replicate,seed_id,constructed_batch,analysis_split,relative_csv_path,relative_mat_path,csv_path_sha256,mat_path_sha256,csv_size_bytes,mat_size_bytes,development_csv_sha256,mat_content_sha256
12,0-1/13,0,HBS,河北石家庄,0-1,1,13,6,development,0-1/13.csv,0-1/13.mat,6df21c57c0b6f1a027b6945adf4588a7e0a6463719fb63055988ecd2b1642966,b8acb830f2de2eb6b70eb9b74c612a3c8a2bb34b1fff1381d48f234c5eec8eba,12021,1285715,127bb472d9132ceca57c20b67ca59b5f90758c88968e988b0bee56560f1f4d46,not_read_in_development
13,0-1/14,0,HBS,河北石家庄,0-1,1,14,0,development,0-1/14.csv,0-1/14.mat,0ee666a0556cc672e5291bd3cc2dd9c5a8dbb34d8ac9a337f0f94b20142179c5,e8dcbd9774f8fcf07e2c735fefd9111cac0ec6068c5e1e4878e5d659405e8415,12019,1104771,b951562cf81fd7e35a9f5eac78b06a1e9509f3c4d571b8a045c0f9af6a990750,not_read_in_development
14,0-1/15,0,HBS,河北石家庄,0-1,1,15,7,development,0-1/15.csv,0-1/15.mat,bca4359584e6b26ce7981517311ab36b564a5ff3516ab24ff98a0a06d001d1a9,2a990cf9f4529346ba8a622ab21611fa35ab7444fe1583d1e5ed6bd650328e20,12025,1741441,dd6074320baf632c7d76b76c0c80776c2b2637da599c85ba94e24e4876925875,not_read_in_development
15,0-1/16,0,HBS,河北石家庄,0-1,1,16,3,development,0-1/16.csv,0-1/16.mat,f3b38689046b90fc00705bafb1fa22080635c1347d364636dbb4b07a0e76f0eb,c488a7d5276e7575521eb8723468bedf32bbd7d8ba27ba5e3133b78dc37b761d,12036,1172807,44c568f67188a72d563eeac3a8e3f9485478520ccc3793202ec75ee9ef1a2253,not_read_in_development
16,0-1/17,0,HBS,河北石家庄,0-1,1,17,5,development,0-1/17.csv,0-1/17.mat,a2b1bc1851832e1dae365de7699d3fccaa3f824ee7ba9e2614a7cc19aac00aca,f9b4edf3df19ba9905d6845ea6bcf0f70e9083689efaef76823a7e21fb0ce916,12016,1058703,d320e00385fe13d78c60f4b78524a5ceb44a0fb6e1d0ca8ef8fac313eae5b4dc,not_read_in_development
19,0-1/20,0,HBS,河北石家庄,0-1,1,20,1,development,0-1/20.csv,0-1/20.mat,6772d4096c9a82c88ae053352432070a940fa4c311919c41c433426412973ee3,e75e090ea4e1581623f348e50d578b537887e0658822144a4a8f16b4197f1432,12031,1157940,5d963927cc470d898ba65a9682764fb6bc2bd7dbdbcbd2b3e7410bce3d208a4c,not_read_in_development
20,0-1/21,0,HBS,河北石家庄,0-1,1,21,5,development,0-1/21.csv,0-1/21.mat,7bc60e6cd27cf1dbd1d38c6406e31c9aa75d0535c48e75c1f8feda0a5a097006,c8ad64334ec3127a330d826aa3878b0cf86b6878fab310101bfddd54111b6f0f,12024,1684435,02c60fc5473e244572e4093490d202fd9145c191a72874d7aa01d20fc0f65726,not_read_in_development
21,0-1/22,0,HBS,河北石家庄,0-1,1,22,0,development,0-1/22.csv,0-1/22.mat,a94feba841f1411500d3603374ae59f8c9a652373fed27456fc6b7f4de473b43,89534d86e76804bbcde43c9b15c3b6b7fe29411649e6f1d96af7802ac12c8abe,12017,1486569,9bbc5d1917e73119b07366e86b4a762a276b316f321dad065e712c3c799b68d3,not_read_in_development
23,0-1/24,0,HBS,河北石家庄,0-1,1,24,6,development,0-1/24.csv,0-1/24.mat,c81180276290eb6440e17a0bc188057080fae3655cea3be183e6e58ae7259a0e,ea7fd44b987cb9d64ced791ca43b4360dbe3537f4082fd93d284d3637f54567a,12029,1064533,3fc085510769adf000cdbd1a4c7e7ee26b8ca278896c4aeccc620e81a02524d0,not_read_in_development
24,0-1/25,0,HBS,河北石家庄,0-1,1,25,5,development,0-1/25.csv,0-1/25.mat,a0cff6c13902c7556358cb2a3f1f4b02ceef9ed2cdac5793e01d9e1bb1c4c1eb,2efd08d79d063b230089de5fd263902ce6dc3602d113bf6c2185ed10957f3e34,12018,1179693,e70d516e2c36d6be2eb5bd3f319bb4a2c5061b5610b4a2bf7326b516b1c9a2b6,not_read_in_development
25,0-1/26,0,HBS,河北石家庄,0-1,1,26,6,development,0-1/26.csv,0-1/26.mat,3365cb41d470b34072c2253494a9fcfe1978e475758971fd3d8684a790195f42,40d342d5843b689724b62eba1794ffa69c32f2abaf25244ff5837db9fe7497de,12036,1269334,39d4a114cacbcd2919372e51482ca07136862c8c40c574b613f6840984da02bc,not_read_in_development
26,0-1/27,0,HBS,河北石家庄,0-1,1,27,1,development,0-1/27.csv,0-1/27.mat,053312f0316b56582b7586623211eafca0cee96ed54c3e7870244fa637b3ed69,e5f73c2033efb0db898c409bb31292c1a0afab89e9d07d3731819de5172b24fc,12028,1298597,c5c1e588c31e423b1f85fc1e24767f1dc671cf5ad50ff720bacb4c687757d486,not_read_in_development
27,0-1/28,0,HBS,河北石家庄,0-1,1,28,0,development,0-1/28.csv,0-1/28.mat,b6708343c9f14afe86990da73d9b1976e924ab87855b2ed8a146252f3c3d6fef,04c0cae1c8cce532d014001d9ac91d1072e87b609778b4bc1bd97188171c4e8e,12034,1471458,c8d7f634279c55e9a65786431839bd82219192c2b7d68aea1fbe719d9ea2e6dc,not_read_in_development
28,0-1/29,0,HBS,河北石家庄,0-1,1,29,2,development,0-1/29.csv,0-1/29.mat,d8ab78585d0b8f4a041048851599d4a487302faf3f9c510eb02473fc2b1ce4fc,dad18c6adfc02ddbf3f7d3322ce6f038114ba0a498de222af4c5ce3053573fd7,12031,1288320,c79822108aee7b85929c62852cf07b725adfde939d3d3564c45280ff8c68f116,not_read_in_development
29,0-1/30,0,HBS,河北石家庄,0-1,1,30,1,development,0-1/30.csv,0-1/30.mat,e75f25645550742b85c2953d18e31b7dac38cc441be1f51810187156f51ee0d9,e9642e08f7dd52610887924949d6984936d16c902b453d9d5c39eae20fda3cad,12029,936883,2ac0086943b303cd79a784d1aef47e503aa3d64a064c38907660ffc858644e84,not_read_in_development
30,0-1/31,0,HBS,河北石家庄,0-1,1,31,5,development,0-1/31.csv,0-1/31.mat,201e57436e800682b770180e9e5fa6a931084f9046c7aabd37337960950bbb93,f696678efd2218fabb6a8d956f59f5176846628d356c892cf489335f6e6a3aa8,12016,1292256,ed8c11b49a9eadd96e2afed406d83aa088373a0afb7b0155c1112a6d09e49bb2,not_read_in_development
31,0-1/32,0,HBS,河北石家庄,0-1,1,32,7,development,0-1/32.csv,0-1/32.mat,ca6d97c2f303d5e6d19f88ff318d06fee0da99084c6374228bb6f58107902629,be7bce39c87025b47a761b7a87616dcee2caa6b0c7d8384ac60fc16cf427d36a,12028,1304694,e11a8ef7fcc8f3623bfa93d7b8353c7cc9f1e728d1b1904023dc5bdb2b11e79e,not_read_in_development
32,0-1/33,0,HBS,河北石家庄,0-1,1,33,7,development,0-1/33.csv,0-1/33.mat,bfc3776c73336b1a32d4efd280e5cac5d4ddcde913985fb4df722a38f978752e,49a20eee1ffdafb385616a3cb91e9ea303d3e6b3746eeb3438083807d285f881,12041,1244501,a780fcde6a326de28692f9b160aefe00587f70bcae8edb616be31f571fa4e74d,not_read_in_development
33,0-1/34,0,HBS,河北石家庄,0-1,1,34,6,development,0-1/34.csv,0-1/34.mat,d34707cdc4a3af53bc734d32bcf331144679068149009120c1db0d30659a1b45,70a39784f962aa9e989bcdc6d06cf678100cc21dc01c89eb82707cad2b9b07c4,12022,1326452,a98be76e13d9d221c684830f937721f05eb4623c75521654e332ca4c8e4949d1,not_read_in_development
35,0-1/36,0,HBS,河北石家庄,0-1,1,36,5,development,0-1/36.csv,0-1/36.mat,46d189410dab02ea3285529c5143ca3357197266603136033ea1bc5948009645,9a4e78175976a27ede263fd00c63820728e46418e743eb29192ce2592f707814,12018,1504186,cb35001591d1c13412b71008d50670f54ddfc98006917c10bb6c1eb7f3bb4837,not_read_in_development
36,0-1/37,0,HBS,河北石家庄,0-1,1,37,4,development,0-1/37.csv,0-1/37.mat,233f12d7ac96938fc48620126628664d0cb1bd00fbbc3d5daf3d5136f1e8ce6b,73bcadaa22eb3b4e2320737810ed6ffab0718b14982305da6ef5a83f3bd5ddfb,12033,1530216,1ee95a3d738f7a61017a86fbd2425f8a67a380c2807879a88dd1f655c6c0ffe6,not_read_in_development
37,0-1/38,0,HBS,河北石家庄,0-1,1,38,6,development,0-1/38.csv,0-1/38.mat,faa0080d39e4c00250a96ba7f8f1e0a1735cc2f1126dced93a546f4bfcdfad1d,258d3b42369a21408ae2c7c03467ccf9e8848d3d552ca098743d826314ead85a,12030,1161357,2578646a6336547ac3d1388139e88e70c891c9bed3f32db70fe4dbab34b7d363,not_read_in_development
38,0-1/39,0,HBS,河北石家庄,0-1,1,39,6,development,0-1/39.csv,0-1/39.mat,9d2f9859deef7141ffbedcacd4109396ab7b84d890191705219043c16a52f2c9,ffaf5a5e49264a90cb8b1fe7beaf5f6ee1281f8873e63a8b95403824925d4422,12017,1422849,eedc80052379a15c79e33719472ba454953a7e943e63f716997e4fdc2710e4d2,not_read_in_development
39,0-1/40,0,HBS,河北石家庄,0-1,1,40,3,development,0-1/40.csv,0-1/40.mat,317c86a52dccfb24232f697cb5ed043533f6ac797b2d9d6793c910dc2b2a7c84,794d116caca33a4ff014c5f55b37cb08cf2a6b86cfc2f0222477c3806c63ad47,12018,902803,3717a9e5185e518038cb59f4bacb0dfb29ac734cdff8b2be38dd75e722f11bb5,not_read_in_development
40,0-1/41,0,HBS,河北石家庄,0-1,1,41,7,development,0-1/41.csv,0-1/41.mat,d06a64a3c0aea33bc2d126c152c141523148fc78a2abb1e56245a7772d2ea13e,e41699182717144a36e2a78bf2428534d8e5cd7a9f9061de49bc8564c2aa2e41,12019,1824950,dbf3656179b3b5089a3835f2ba561f25834e5bd2904e50302669ad26c455af68,not_read_in_development
42,0-1/43,0,HBS,河北石家庄,0-1,1,43,3,development,0-1/43.csv,0-1/43.mat,4de4379b347f0ade239542dcbd37bd21c75f5689e5af6ea597b30cef45ff5439,4eebe3d427862d35a6b420b922df8d3307b47044bb76ccda1f1831ea3841b039,12026,1314993,790fbda8000f01fa3631e9ea5c48c98d5c1a5cf7edf7af68d1c68def6a96828a,not_read_in_development
43,0-1/44,0,HBS,河北石家庄,0-1,1,44,1,development,0-1/44.csv,0-1/44.mat,d833767a5a248932935471bd19defe4ce8de9ed04c61f6d0204be71fa35d6e97,c40ea0b1ff864add978ac2aee10470d2b5f3057f1676e244768ca79e0ab24924,12025,1313996,f9954b47a57207f0d316b49fd1d2c4188ffd0c0c1f33792434341813797beb49,not_read_in_development
44,0-1/45,0,HBS,河北石家庄,0-1,1,45,2,development,0-1/45.csv,0-1/45.mat,4269de442e83ded534e2275c0a2a46903131ea065736bc8bda6aeb7c3e4f2b8e,174b8a505ce4f87c1342e0ef1b5a355142b6e21821899ff19ef51280c1ef1406,12028,1475143,c6e8ae724f7a58996b695a49c40aed336a701f1da16479a72584732bb2a69b5c,not_read_in_development
45,0-1/46,0,HBS,河北石家庄,0-1,1,46,2,development,0-1/46.csv,0-1/46.mat,60536f34fed5d6f24be640768b427a8f8501f2acc77ba4749da2d05128762c51,5547b2c35f3b1b154bbb4388ca4dfd46437424f0f500f1f76252e0e88c5ad501,12030,940364,32dfb0bac7e1fc6fd742bb22f243ed4c1e70a24e904ba09c3baccbdd255dc323,not_read_in_development
46,0-1/47,0,HBS,河北石家庄,0-1,1,47,2,development,0-1/47.csv,0-1/47.mat,3d9f60352e980928b9cfa2332e608694c8364cd68dd3b153138d1ded62c4d779,ef8145c9b3a4a5902a1904f7743e57b4701b7772cb0b9381668851e5e016a10d,12021,1312054,12f8cb8b29a554e49e9af91a642fcfb0174833e9b7baabdb505cf97903e4c8c3,not_read_in_development
49,0-1/50,0,HBS,河北石家庄,0-1,1,50,2,development,0-1/50.csv,0-1/50.mat,592a5eab0aed4aa5feab0fc0ecb15750455faf88781ac9318fb6862b5c407463,8bf764869f644c535859174fd38f2cefdc70af4588bdc4ac6357e6677dd85aae,12024,1354377,d8c99bd3856192c4444d130f6f1112366ef72af6ecfa357ca8166d2a7821778d,not_read_in_development
51,0-1/52,0,HBS,河北石家庄,0-1,1,52,4,development,0-1/52.csv,0-1/52.mat,baaacb254ce4a3b0d172b03b1a966eca6dea21fb8ac6d0855afab5b593ab486c,207d1f960a4c641f1d2300fe6597feda5b2aab8053c3d49a8771d5f328054882,12040,1615541,f148b7f97c36916271b31d250480e767a0db03592ed8f4e82e0922cd5c197e0f,not_read_in_development
52,0-1/53,0,HBS,河北石家庄,0-1,1,53,6,development,0-1/53.csv,0-1/53.mat,849a698ae4799b532a6e0f0babd26ab33f4c061febbc6e839de0e1042344f30a,3b9ca94115cc00bb8a4ec2e7690210f172e5bd59cc9a3e5e8c14cbe780defdb3,12031,1312978,5bfe2a694f3ee9c12523053b10327a76eac53642fb71cbfe7debe363aa2f647f,not_read_in_development
54,0-1/55,0,HBS,河北石家庄,0-1,1,55,2,development,0-1/55.csv,0-1/55.mat,09745ee3f8bd9a0983b16e9e88d6eb6375ce1cb7c385722836b405a9aafaa8f0,ffd74a6796ba649c4caa25454519758ccc8ee008f4bbb908391a90b4f5b0ef52,12025,1436285,f209225cbf07784e231d7b6bd2ca73323fa2a07c61cdd2244ae11ad4e4b5e17e,not_read_in_development
57,0-1/58,0,HBS,河北石家庄,0-1,1,58,4,development,0-1/58.csv,0-1/58.mat,f44a8aac418a502ad940fcb0a45078481eec877e0cfe7b7ad4422a885399b047,92ce0c32a3a9ed3914d4326860dd2e9baeedd4b23745abe28c93bc10eda0a9a9,12026,1274441,1a176c3906a17ec6f8f6c1599cfbd182a14590b2a02e7795acc7a7f0139b9e25,not_read_in_development
58,0-1/59,0,HBS,河北石家庄,0-1,1,59,4,development,0-1/59.csv,0-1/59.mat,d42a64e1fe60ea59c4ab06d1fbdd3cbc313958cf16d098ff82f2c49d7fd987be,02e9dc199926895d904e188f51072040110a562e113b92e415c86b1ecb662b5e,12035,1132933,d42aa0263341e47a3d0d6e26cca9e77101148bf0e941f8cec12035f03df2f7e2,not_read_in_development
59,0-1/60,0,HBS,河北石家庄,0-1,1,60,3,development,0-1/60.csv,0-1/60.mat,2f6407e688e33732f55584b0f796dcfb92e7b7777b8bc342e640cca62a6c9b58,3f027736d4b9c0a4634492848978b8a7e881256efe20a6351dd861fc18d200f1,12030,1299427,bb4b9b006c16f69478ce1fab1ae76d617057f36f69c6baeabeee70431e784376,not_read_in_development
60,0-1/61,0,HBS,河北石家庄,0-1,1,61,0,development,0-1/61.csv,0-1/61.mat,9a1449c5dc4ca31050c60f07248fc305f3e67d5e1d9f98da7cd357e28475a7b9,be5eca373b91ca0a0df8b850c06fcccab69aeee93564d9838f12eaf7757e5113,12035,1267147,790d176b6a396d01d08faed3e896b7a4204e196fdcabb7b9f20b52a513294b56,not_read_in_development
61,0-1/62,0,HBS,河北石家庄,0-1,1,62,2,development,0-1/62.csv,0-1/62.mat,3776aee120b654b24ebfa2e244f82d58801b70cce941c4d882da370e2a51769b,ef3f9ce4e013ee925cd2d82ba831acf98c958a9abfd92e1b801b61c24476ce80,12023,1132914,a7b8eafa035b20fee77ab8627d3f05bda90002bd2d62e129568bb2f433512a5c,not_read_in_development
62,0-1/63,0,HBS,河北石家庄,0-1,1,63,4,development,0-1/63.csv,0-1/63.mat,375f69c1bca257a5b2b27028daa777b06ce941231df30ebacb59c0f739d508bb,23a7b3c0234d88f54462e8bd74f6773a464f6ac7cc092f85eda4bd412b361230,12021,1198230,f1862c5d80e80f1c6aca2136ed625b8c8bbdd55adae27d6a74027839e13e451f,not_read_in_development
63,0-1/64,0,HBS,河北石家庄,0-1,1,64,1,development,0-1/64.csv,0-1/64.mat,2d17dfa6586e804a040ded64b8f5636ea1b445d9bb8830a9a4389f51c637a97b,b15765a704ceb68fff2c3f43057b75a9c48d5eb9fcbebb34eb6fe03a2ed9eee5,12039,1431029,1d7173faddf5f78369b0deecf5b4fd24c7e6f0d8da6d2b784f24c267acf1981d,not_read_in_development
64,0-1/65,0,HBS,河北石家庄,0-1,1,65,1,development,0-1/65.csv,0-1/65.mat,691a4019591155dc3d2a5bbea80fb74cdbdeccd5ed6ede6f63b927217e96acee,11b27868f2da58321c7e745c88323305386a96c4ced5c941657653b16e4a2173,12033,1755993,27eb5387222e15a5f91a0dd35a021e0e26e29020cfe77cb6471828161714c7aa,not_read_in_development
65,0-1/66,0,HBS,河北石家庄,0-1,1,66,5,development,0-1/66.csv,0-1/66.mat,6ab89c7aaa652c79d8fab439b056f16074d16868281be1028eadc2b89943319b,97b6ced2c7b2527b75471965d1def751c0d539acc180e3074e9c167a92dcc701,12033,1126178,6668ea692870d8a3f5ee9947b38f7c19317e367cd21afe870fb4ffd8e88f5f16,not_read_in_development
66,0-1/67,0,HBS,河北石家庄,0-1,1,67,3,development,0-1/67.csv,0-1/67.mat,288a54f6cede6068bab1d908c4acafc2b98dbc34b810bf3dc1668cb3796574d3,37e5918c29c1031685129238854fa807074e4b54561fd9ea9fd6cb7ac8c91366,12041,1365707,34a65fb6aa0d3ac501f6f36a79faeca6ec41c1eb25e36cebfa605a4e9632bd83,not_read_in_development
68,0-1/69,0,HBS,河北石家庄,0-1,1,69,3,development,0-1/69.csv,0-1/69.mat,cae0264e0e145f821072137227bf25bbeb898d48726f175f2b488dbcea1a1b4d,09362e6b2cfcc7d5d6c8f26b380df8f2b38de97f4d85cea4ef9d41b181cd26e7,12046,1310026,e3712ce9e5affd5e54ce91fa1430caf2b20cd677f1a53696940e7cae9eff5ce2,not_read_in_development
69,0-1/70,0,HBS,河北石家庄,0-1,1,70,7,development,0-1/70.csv,0-1/70.mat,ee22cc9608547912f13a8e881cb3adcc8674d05554719bb46789cce11a2a659a,cc4d5d6ae7e7dad4471bb3f6eaa6d03fc3181953ade2aa92c414ca7225aa5d2b,12041,1171596,df5dd99567a3e17dd31fbbe82e30217a393f6b72f08693257968bd84674fd42d,not_read_in_development
70,0-1/71,0,HBS,河北石家庄,0-1,1,71,7,development,0-1/71.csv,0-1/71.mat,3f42fa4bcff59906a0f69c0b194a302f9f508767580dfdc1dfc29126e404d888,d889880e391a6e187217f42da6b94dbb3ae6a8dff5ad56b13e5d201708c0be6f,12033,1150902,c6de5951c3d360ef82780baac844bedc44ff660dbc5ea60efb883e1eb935d80a,not_read_in_development
71,0-1/72,0,HBS,河北石家庄,0-1,1,72,0,development,0-1/72.csv,0-1/72.mat,98b5b05eddb3aacbdb696a31b192f689015aab22623cd12f95ac527331cf3c5c,5afc64e490b0f0ec9a05d7b2f33719e3c0e7766b5f71604b074c144ea723e7b8,12026,1358471,4b6b13fde2141399015c05315baff175eb966b368df4dd5b2c21550c3b208bbb,not_read_in_development
72,0-1/73,0,HBS,河北石家庄,0-1,1,73,1,development,0-1/73.csv,0-1/73.mat,038a43ec6efbe39261772c324a3728825f91e3ee692c758dce76d6fb7fa59445,8e96bc9206098f6a8a2e0763efcb9061f45167dc2ed43370820abd2269a8004c,12019,1181840,7ed634b31998df3343ddcf6039bbce4a08ef4b3fe2163df23e4f08259c5e45e7,not_read_in_development
73,0-1/74,0,HBS,河北石家庄,0-1,1,74,2,development,0-1/74.csv,0-1/74.mat,fb3d44010ed2832d46587f655cf7efbcf871bc1ba74e9eb478e592c0b95a7915,99f978a95ec68c8463e8ab760c03022001d40e04be8d3256a1aff89d986042ab,12032,1540078,d0fa26d612c3394270126075f3eb57db12edb771f42b1b05ba4ef579536fc2d8,not_read_in_development
74,0-1/75,0,HBS,河北石家庄,0-1,1,75,0,development,0-1/75.csv,0-1/75.mat,767252b54fcc2a68f51246f56318ac978e9f809a8ca5d936180808686d952d5c,bcbfa5fcc51573719841331a3c2634fde6f5a121122bff3c921befbc4f034fc4,12018,1252869,0e1157aee6f3731ffa81589e901351dbc2dc0d961e0a1c76f860a6d8bac6c8bf,not_read_in_development
75,0-1/76,0,HBS,河北石家庄,0-1,1,76,4,development,0-1/76.csv,0-1/76.mat,457da00bfbb0b6a75eebcb04f92db6e6b56b903603097f8cd2b537825c0efd2f,2e8c6496cb7795a2031c19ea39f841707bd850f83815516f481beb6ae9971f1f,12034,1071533,6493a57d7b8da80d3ab64c64d094218f3b241f03afde70d3705c435203f24138,not_read_in_development
76,0-1/77,0,HBS,河北石家庄,0-1,1,77,7,development,0-1/77.csv,0-1/77.mat,fb52c48d8bb6feed4da2db67149bcb004f2df700f65210c324f1d682a8db594f,963e9dfa99131ab52b5482d1e0c27650eccac30a4c087c54b285b8c8517cc17b,12023,1557063,a81bb496e316ad3a0abb696077f669b390e6618797f92835783fbdc75c0a81af,not_read_in_development
80,0-2/1,0,HBS,河北石家庄,0-2,2,1,7,development,0-2/1.csv,0-2/1.mat,e7ec9c32c2f220b9f53903fcff0db898c1ed1818511ef9a1f249000f5364c252,e63696114d5506964eb5f60451bb29138f25938ff4e2b57993551137d662bd36,12031,737798,3e85b1d929ee426a0ec0be76c650b58854d928d998d6d0270f449f36fb7795c5,not_read_in_development
81,0-2/2,0,HBS,河北石家庄,0-2,2,2,5,development,0-2/2.csv,0-2/2.mat,019acf5bf5d64f1e263595058cdaf3fc7d640ab674f6c937adb80e7cd713fc6b,8b2756fbe5118f30d21886deb42029bb70461830ff0dd45bfdbdfde27de4928e,12019,991700,e8c44d7f13d9eb2c794c536300a52de58d1ae892ea81c4c9c82217d77ebde55d,not_read_in_development
82,0-2/3,0,HBS,河北石家庄,0-2,2,3,0,development,0-2/3.csv,0-2/3.mat,3ff0f376da1319255772bfa3e10f3a6ada94171fce2a67d471e4553440a3dcff,597d599242ac54ff728ca2d6e0c4463b1fc19e6187dcccee7fb5b1a565b0082e,12018,826715,1bc1cac4516e169df401420bacd307c799453dd0dedf3d3ff0e73e8464f1c9d6,not_read_in_development
83,0-2/4,0,HBS,河北石家庄,0-2,2,4,7,development,0-2/4.csv,0-2/4.mat,352f2ff19d9368a2c5a32bc900ae0eba372a3519594451cadead8483a7fca001,85e13904b13271a2111853f688b72459f7d66b5e075a2abdfa11fda879252a40,12028,1094513,f28122b52a2d77d6394a33afa6bf8426b7e2b0725b8bab9d9f89aadff83f8353,not_read_in_development
84,0-2/5,0,HBS,河北石家庄,0-2,2,5,3,development,0-2/5.csv,0-2/5.mat,3a6dc64bb4d3624051b9fd5ab4287826a692064f51decfc08c8dd14d38d6adb0,7e57f8bf796ab6f4e3987b42cda502ff83b4d732f092a56dee47eeb5302668aa,12029,689146,f9d7e796e4e4ffb8aa0dac74a19b30766ebae936b012e53026255985b7579866,not_read_in_development
86,0-2/7,0,HBS,河北石家庄,0-2,2,7,0,development,0-2/7.csv,0-2/7.mat,145783c2e0d7e4a714b6368eeb6fb01cc21d4d54b96028d76e5a91148fe00c58,38befb3d414a8a48a8f0afd46734ac61b39c6ced09c5ed405f0c6787c650b319,12020,1118030,87cd226aa53a76ecea582211496b1e379620c9d9e1c350774d504a8066a39ce0,not_read_in_development
