sample_index,sample_id,label,class_code,source_cube,source_replicate,seed_id,constructed_batch,analysis_split,relative_mat_path,mat_path_sha256,mat_size_bytes,foreground_pixels,inner_pixels,outer_pixels,foreground_std_features,foreground_iqr_features,radial_features,morphology_features,extracted_mat_feature_sha256,mat_content_sha256
11,0-1/12,0,HBS,0-1,1,12,0,development,0-1/12.mat,a36294fd1c10f26553b44f378cd4566bc3a015c78939241bee57ae5becf36f88,1373291,315,155,160,392,392,392,5,8b7c97847c01e8247cb8e6a1ed0fff46bf1a8618dc6c5399c3b937b9553016a8,not_computed_in_blind_development
12,0-1/13,0,HBS,0-1,1,13,6,development,0-1/13.mat,b8acb830f2de2eb6b70eb9b74c612a3c8a2bb34b1fff1381d48f234c5eec8eba,1285715,292,140,152,392,392,392,5,9ccfada4182cfb80bb75d41777a737acc17f0b05fcec4380931f8cde2a03c972,not_computed_in_blind_development
13,0-1/14,0,HBS,0-1,1,14,0,development,0-1/14.mat,e8dcbd9774f8fcf07e2c735fefd9111cac0ec6068c5e1e4878e5d659405e8415,1104771,248,121,127,392,392,392,5,b1839999bc973ca4d7cfc009c88b1b0042ea6ff69682278ed022c57fc890981f,not_computed_in_blind_development
14,0-1/15,0,HBS,0-1,1,15,7,development,0-1/15.mat,2a990cf9f4529346ba8a622ab21611fa35ab7444fe1583d1e5ed6bd650328e20,1741441,404,193,211,392,392,392,5,8aa28e873787535acc9ae405e6f2ef5dde5ae23d98f4bcb6e6f23052041c506b,not_computed_in_blind_development
15,0-1/16,0,HBS,0-1,1,16,3,development,0-1/16.mat,c488a7d5276e7575521eb8723468bedf32bbd7d8ba27ba5e3133b78dc37b761d,1172807,265,122,143,392,392,392,5,d55377d3a73197630c9bfd9dd0fdf5d8bab8e8f4ce34beb4e6145f2c6b5e817e,not_computed_in_blind_development
16,0-1/17,0,HBS,0-1,1,17,5,development,0-1/17.mat,f9b4edf3df19ba9905d6845ea6bcf0f70e9083689efaef76823a7e21fb0ce916,1058703,239,117,122,392,392,392,5,ec050a48eb73e8d1bc248de195bee7d8a8d25186560aa712be719127a8c560c3,not_computed_in_blind_development
19,0-1/20,0,HBS,0-1,1,20,1,development,0-1/20.mat,e75e090ea4e1581623f348e50d578b537887e0658822144a4a8f16b4197f1432,1157940,263,121,142,392,392,392,5,cbe6a41e79c10639aa2fb4a2159018d027a3d1d26ff338550a18698db44fa7d7,not_computed_in_blind_development
20,0-1/21,0,HBS,0-1,1,21,5,development,0-1/21.mat,c8ad64334ec3127a330d826aa3878b0cf86b6878fab310101bfddd54111b6f0f,1684435,390,179,211,392,392,392,5,299a7bed3834d11c65153b75ec2dac8c347c31d88c6df3c23e3ac53361e759af,not_computed_in_blind_development
21,0-1/22,0,HBS,0-1,1,22,0,development,0-1/22.mat,89534d86e76804bbcde43c9b15c3b6b7fe29411649e6f1d96af7802ac12c8abe,1486569,340,163,177,392,392,392,5,d49bf6f719cc35d355783f113895a6db06148d11678eb3f12c86ca5245f62f23,not_computed_in_blind_development
23,0-1/24,0,HBS,0-1,1,24,6,development,0-1/24.mat,ea7fd44b987cb9d64ced791ca43b4360dbe3537f4082fd93d284d3637f54567a,1064533,240,113,127,392,392,392,5,ddb23adc088944b299d8b6e4b9b543dbbd9d3632a26d00c4cfa12a45b1ebffb5,not_computed_in_blind_development
24,0-1/25,0,HBS,0-1,1,25,5,development,0-1/25.mat,2efd08d79d063b230089de5fd263902ce6dc3602d113bf6c2185ed10957f3e34,1179693,267,128,139,392,392,392,5,7c6e52912aa0cdf1a3e22dbec7832a6b32035a7b91811247078f03f7ef61f92f,not_computed_in_blind_development
25,0-1/26,0,HBS,0-1,1,26,6,development,0-1/26.mat,40d342d5843b689724b62eba1794ffa69c32f2abaf25244ff5837db9fe7497de,1269334,289,140,149,392,392,392,5,c44b0e0096a3634f3ec3672fced392789354c42066a2d23aa486c0b21d60e331,not_computed_in_blind_development
26,0-1/27,0,HBS,0-1,1,27,1,development,0-1/27.mat,e5f73c2033efb0db898c409bb31292c1a0afab89e9d07d3731819de5172b24fc,1298597,298,145,153,392,392,392,5,b883ed9094abffaee9bb157029a250abbe39ff856bbfdd515ea52a958d0dbafe,not_computed_in_blind_development
27,0-1/28,0,HBS,0-1,1,28,0,development,0-1/28.mat,04c0cae1c8cce532d014001d9ac91d1072e87b609778b4bc1bd97188171c4e8e,1471458,339,163,176,392,392,392,5,a593778d469fb0f4a4806ecad7ed799915e47cb0736e99b7d452ce55225403e0,not_computed_in_blind_development
28,0-1/29,0,HBS,0-1,1,29,2,development,0-1/29.mat,dad18c6adfc02ddbf3f7d3322ce6f038114ba0a498de222af4c5ce3053573fd7,1288320,295,142,153,392,392,392,5,5defcc3b02b3d065dd1c7fbcd6d912b2548f75eaca405f37b08634185b07853a,not_computed_in_blind_development
29,0-1/30,0,HBS,0-1,1,30,1,development,0-1/30.mat,e9642e08f7dd52610887924949d6984936d16c902b453d9d5c39eae20fda3cad,936883,210,91,119,392,392,392,5,03fdab3ff67eb4b2d98eb9385079ae4c74bb4b49cc624adbd397075f262a76bf,not_computed_in_blind_development
30,0-1/31,0,HBS,0-1,1,31,5,development,0-1/31.mat,f696678efd2218fabb6a8d956f59f5176846628d356c892cf489335f6e6a3aa8,1292256,296,144,152,392,392,392,5,09e81cba834649607a6e4df90844498e03210ed553b1965bac3679faa76f9dd7,not_computed_in_blind_development
31,0-1/32,0,HBS,0-1,1,32,7,development,0-1/32.mat,be7bce39c87025b47a761b7a87616dcee2caa6b0c7d8384ac60fc16cf427d36a,1304694,296,143,153,392,392,392,5,68e8447adb2dcfa866aa4f0552cb769aa00ab7579f50e31dc9f3d7f13e62125a,not_computed_in_blind_development
32,0-1/33,0,HBS,0-1,1,33,7,development,0-1/33.mat,49a20eee1ffdafb385616a3cb91e9ea303d3e6b3746eeb3438083807d285f881,1244501,283,131,152,392,392,392,5,6d43d6758cd0475fcd4b3f6dc57d488499d71ee45032cfe27bf870f617bc1b61,not_computed_in_blind_development
33,0-1/34,0,HBS,0-1,1,34,6,development,0-1/34.mat,70a39784f962aa9e989bcdc6d06cf678100cc21dc01c89eb82707cad2b9b07c4,1326452,302,149,153,392,392,392,5,a4739b3fe10baf04b0b967a75c1f2cc92d653555926911215d934a2284dce2e3,not_computed_in_blind_development
35,0-1/36,0,HBS,0-1,1,36,5,development,0-1/36.mat,9a4e78175976a27ede263fd00c63820728e46418e743eb29192ce2592f707814,1504186,347,167,180,392,392,392,5,bdef501f0342318aa0c1666039c2c2cb68918c8ddb88bfd466d3d591967ffec6,not_computed_in_blind_development
36,0-1/37,0,HBS,0-1,1,37,4,development,0-1/37.mat,73bcadaa22eb3b4e2320737810ed6ffab0718b14982305da6ef5a83f3bd5ddfb,1530216,354,160,194,392,392,392,5,14a5b1a6b034dced92ce1b62125685633f34902f9527ae57d996703db135c60e,not_computed_in_blind_development
37,0-1/38,0,HBS,0-1,1,38,6,development,0-1/38.mat,258d3b42369a21408ae2c7c03467ccf9e8848d3d552ca098743d826314ead85a,1161357,265,123,142,392,392,392,5,28d1cff6372a223248d78ca72bd337492c9210d65377f72543001c4e53767057,not_computed_in_blind_development
38,0-1/39,0,HBS,0-1,1,39,6,development,0-1/39.mat,ffaf5a5e49264a90cb8b1fe7beaf5f6ee1281f8873e63a8b95403824925d4422,1422849,326,157,169,392,392,392,5,547c245b52451f74d0d6f9b27db2456b096b2235faf70464ab0f3eb7c876954f,not_computed_in_blind_development
39,0-1/40,0,HBS,0-1,1,40,3,development,0-1/40.mat,794d116caca33a4ff014c5f55b37cb08cf2a6b86cfc2f0222477c3806c63ad47,902803,202,88,114,392,392,392,5,f1b92b3eeb7a4789ee29190bc69f91dcfcb9b23ce4b0a6c48456925f65767cee,not_computed_in_blind_development
40,0-1/41,0,HBS,0-1,1,41,7,development,0-1/41.mat,e41699182717144a36e2a78bf2428534d8e5cd7a9f9061de49bc8564c2aa2e41,1824950,423,206,217,392,392,392,5,549cdc3cf41f9f02e12db1360751dce256808c2632537f239f9eeeea55b79285,not_computed_in_blind_development
42,0-1/43,0,HBS,0-1,1,43,3,development,0-1/43.mat,4eebe3d427862d35a6b420b922df8d3307b47044bb76ccda1f1831ea3841b039,1314993,301,149,152,392,392,392,5,a49707b5927cf538fdafe339756d264c801321e27f744c1728b888484e85816f,not_computed_in_blind_development
43,0-1/44,0,HBS,0-1,1,44,1,development,0-1/44.mat,c40ea0b1ff864add978ac2aee10470d2b5f3057f1676e244768ca79e0ab24924,1313996,299,144,155,392,392,392,5,c73734fa48a0c91be826add9ad9a78fc811c19661e7cfb72b95646ba2be433aa,not_computed_in_blind_development
44,0-1/45,0,HBS,0-1,1,45,2,development,0-1/45.mat,174b8a505ce4f87c1342e0ef1b5a355142b6e21821899ff19ef51280c1ef1406,1475143,341,165,176,392,392,392,5,5ba4ca28bcf236ab2cc824b1b0d486a208db6300c30f88f423c42c2c220820ec,not_computed_in_blind_development
45,0-1/46,0,HBS,0-1,1,46,2,development,0-1/46.mat,5547b2c35f3b1b154bbb4388ca4dfd46437424f0f500f1f76252e0e88c5ad501,940364,209,91,118,392,392,392,5,73143b3d9dd0eb01b41d7d0f2b808c70951e557416427df7932871bd8aebe2cc,not_computed_in_blind_development
46,0-1/47,0,HBS,0-1,1,47,2,development,0-1/47.mat,ef8145c9b3a4a5902a1904f7743e57b4701b7772cb0b9381668851e5e016a10d,1312054,301,147,154,392,392,392,5,bd9a6e3f6c92617ffb1e845abb69fe2e0f2a6a36a837c44ab18aa4995916b21f,not_computed_in_blind_development
49,0-1/50,0,HBS,0-1,1,50,2,development,0-1/50.mat,8bf764869f644c535859174fd38f2cefdc70af4588bdc4ac6357e6677dd85aae,1354377,312,154,158,392,392,392,5,570266475ff5471a8493293731f969853b53eb79762ffacde030f951614c5463,not_computed_in_blind_development
51,0-1/52,0,HBS,0-1,1,52,4,development,0-1/52.mat,207d1f960a4c641f1d2300fe6597feda5b2aab8053c3d49a8771d5f328054882,1615541,374,187,187,392,392,392,5,dc9b5ef003dc336197d60911ce170cbe8adf8fc19723c83c6f79cd51a7c06326,not_computed_in_blind_development
52,0-1/53,0,HBS,0-1,1,53,6,development,0-1/53.mat,3b9ca94115cc00bb8a4ec2e7690210f172e5bd59cc9a3e5e8c14cbe780defdb3,1312978,297,137,160,392,392,392,5,416aaff401636d14542c2d36ac39a336395dd2fe037bd59b5862680d5d6a7867,not_computed_in_blind_development
54,0-1/55,0,HBS,0-1,1,55,2,development,0-1/55.mat,ffd74a6796ba649c4caa25454519758ccc8ee008f4bbb908391a90b4f5b0ef52,1436285,330,158,172,392,392,392,5,0c5854ff7257540027c1d3622db6e69aa29ff99ecf558d967ac43398215743d5,not_computed_in_blind_development
57,0-1/58,0,HBS,0-1,1,58,4,development,0-1/58.mat,92ce0c32a3a9ed3914d4326860dd2e9baeedd4b23745abe28c93bc10eda0a9a9,1274441,291,143,148,392,392,392,5,e21377ac44c5fdae8634fc7fde462d658b652f7959a1c4964c9f5c21f6d46785,not_computed_in_blind_development
58,0-1/59,0,HBS,0-1,1,59,4,development,0-1/59.mat,02e9dc199926895d904e188f51072040110a562e113b92e415c86b1ecb662b5e,1132933,258,119,139,392,392,392,5,4dca13ea29f6d3f31495636501b32339fbd982e6e0e0a3037035981b008b2bb6,not_computed_in_blind_development
59,0-1/60,0,HBS,0-1,1,60,3,development,0-1/60.mat,3f027736d4b9c0a4634492848978b8a7e881256efe20a6351dd861fc18d200f1,1299427,297,145,152,392,392,392,5,8fedb49ca4f0267bb79640fedccb63090712023c45bb2478da3184afd3982206,not_computed_in_blind_development
60,0-1/61,0,HBS,0-1,1,61,0,development,0-1/61.mat,be5eca373b91ca0a0df8b850c06fcccab69aeee93564d9838f12eaf7757e5113,1267147,290,141,149,392,392,392,5,46aa26218b607a2b06a11e008ec7ae97468d22807958193fa6ad72c0102e8acb,not_computed_in_blind_development
61,0-1/62,0,HBS,0-1,1,62,2,development,0-1/62.mat,ef3f9ce4e013ee925cd2d82ba831acf98c958a9abfd92e1b801b61c24476ce80,1132914,257,112,145,392,392,392,5,3db39b0934dba653fd8cfc9270ec3b79aea0563570bab64b96888ed38525034f,not_computed_in_blind_development
62,0-1/63,0,HBS,0-1,1,63,4,development,0-1/63.mat,23a7b3c0234d88f54462e8bd74f6773a464f6ac7cc092f85eda4bd412b361230,1198230,271,123,148,392,392,392,5,31558a4689be42c256f03f57f1fca9822d06597a4d677ee6c737eaa4836dac81,not_computed_in_blind_development
63,0-1/64,0,HBS,0-1,1,64,1,development,0-1/64.mat,b15765a704ceb68fff2c3f43057b75a9c48d5eb9fcbebb34eb6fe03a2ed9eee5,1431029,327,157,170,392,392,392,5,36f732b810d8976e55fc534b2756c010b04f8aae9f9ff5639e0689b372113b0b,not_computed_in_blind_development
64,0-1/65,0,HBS,0-1,1,65,1,development,0-1/65.mat,11b27868f2da58321c7e745c88323305386a96c4ced5c941657653b16e4a2173,1755993,408,194,214,392,392,392,5,6af113084fec38cd63fb769c8af264a86c173997d1ac06b6b1aaea9d9d443f24,not_computed_in_blind_development
65,0-1/66,0,HBS,0-1,1,66,5,development,0-1/66.mat,97b6ced2c7b2527b75471965d1def751c0d539acc180e3074e9c167a92dcc701,1126178,254,125,129,392,392,392,5,fda7c47dd5dec2e7515f0c1a659979192d7012d703917eaa0316312e2880a506,not_computed_in_blind_development
66,0-1/67,0,HBS,0-1,1,67,3,development,0-1/67.mat,37e5918c29c1031685129238854fa807074e4b54561fd9ea9fd6cb7ac8c91366,1365707,313,149,164,392,392,392,5,a3dabadb048f85d03eb179a1f169bb5edd30b6327a47e2295f7c2d2a370bbbb2,not_computed_in_blind_development
68,0-1/69,0,HBS,0-1,1,69,3,development,0-1/69.mat,09362e6b2cfcc7d5d6c8f26b380df8f2b38de97f4d85cea4ef9d41b181cd26e7,1310026,300,147,153,392,392,392,5,b9df5339253735db78aea120a3d07e85ece6b8b9275e401bd22cb2ee1eecb6ff,not_computed_in_blind_development
69,0-1/70,0,HBS,0-1,1,70,7,development,0-1/70.mat,cc4d5d6ae7e7dad4471bb3f6eaa6d03fc3181953ade2aa92c414ca7225aa5d2b,1171596,270,126,144,392,392,392,5,83c326ec2033f20c352edf5ca6065a53255da6b9fc1d7cf8e7ae76983be6466f,not_computed_in_blind_development
70,0-1/71,0,HBS,0-1,1,71,7,development,0-1/71.mat,d889880e391a6e187217f42da6b94dbb3ae6a8dff5ad56b13e5d201708c0be6f,1150902,262,120,142,392,392,392,5,8d6491ea678fffbd57851e0ff64ad9565ab482521fbf756854610a6a20746e01,not_computed_in_blind_development
71,0-1/72,0,HBS,0-1,1,72,0,development,0-1/72.mat,5afc64e490b0f0ec9a05d7b2f33719e3c0e7766b5f71604b074c144ea723e7b8,1358471,311,143,168,392,392,392,5,5b56cc46b2ef870ff607f3b8105d38f438646c849d054637e83327a7d01b2e78,not_computed_in_blind_development
72,0-1/73,0,HBS,0-1,1,73,1,development,0-1/73.mat,8e96bc9206098f6a8a2e0763efcb9061f45167dc2ed43370820abd2269a8004c,1181840,268,133,135,392,392,392,5,8039e4e50dd7a1b7c2ce4bde1a98fd4bfb1e900c446ab93fd2abcb8a1d638ea3,not_computed_in_blind_development
73,0-1/74,0,HBS,0-1,1,74,2,development,0-1/74.mat,99f978a95ec68c8463e8ab760c03022001d40e04be8d3256a1aff89d986042ab,1540078,356,176,180,392,392,392,5,4cce5aac0b4b3de19389a644a5294247619dee7b88580adbc7abbaa2ecc8237a,not_computed_in_blind_development
74,0-1/75,0,HBS,0-1,1,75,0,development,0-1/75.mat,bcbfa5fcc51573719841331a3c2634fde6f5a121122bff3c921befbc4f034fc4,1252869,286,140,146,392,392,392,5,7460614a5d8e3a1fead5c4a4f0a41319098cc67cab04dfe8af6a4513e6b12b47,not_computed_in_blind_development
75,0-1/76,0,HBS,0-1,1,76,4,development,0-1/76.mat,2e8c6496cb7795a2031c19ea39f841707bd850f83815516f481beb6ae9971f1f,1071533,241,113,128,392,392,392,5,5b298930f6a9b8990c7a3c80768992ea7189d9ea0d193a7cb2858e8cfa1b12cc,not_computed_in_blind_development
76,0-1/77,0,HBS,0-1,1,77,7,development,0-1/77.mat,963e9dfa99131ab52b5482d1e0c27650eccac30a4c087c54b285b8c8517cc17b,1557063,359,179,180,392,392,392,5,70d56ada970ca8aa7004c6e2a548afc5ae7e4f0327f929c1c27de4d1c6522605,not_computed_in_blind_development
80,0-2/1,0,HBS,0-2,2,1,7,development,0-2/1.mat,e63696114d5506964eb5f60451bb29138f25938ff4e2b57993551137d662bd36,737798,246,119,127,392,392,392,5,d09ab4df4d5b57cd5be1acdcb643e39aefa4707cbbbf92b4a4f06a71e850b191,not_computed_in_blind_development
81,0-2/2,0,HBS,0-2,2,2,5,development,0-2/2.mat,8b2756fbe5118f30d21886deb42029bb70461830ff0dd45bfdbdfde27de4928e,991700,338,163,175,392,392,392,5,b302acd96a9831378564b59e1f06ebad361461310d4a2090c29da8cfde0471a1,not_computed_in_blind_development
82,0-2/3,0,HBS,0-2,2,3,0,development,0-2/3.mat,597d599242ac54ff728ca2d6e0c4463b1fc19e6187dcccee7fb5b1a565b0082e,826715,276,131,145,392,392,392,5,3661c9710c4f6b45fecc526ec9d7f68c311bc390e80f0b733970b60bc9811c0e,not_computed_in_blind_development
83,0-2/4,0,HBS,0-2,2,4,7,development,0-2/4.mat,85e13904b13271a2111853f688b72459f7d66b5e075a2abdfa11fda879252a40,1094513,375,171,204,392,392,392,5,79181e2dfac88c90b3379119d550a9154ba9e3de073d29bdbe6d259f2b3362a5,not_computed_in_blind_development
84,0-2/5,0,HBS,0-2,2,5,3,development,0-2/5.mat,7e57f8bf796ab6f4e3987b42cda502ff83b4d732f092a56dee47eeb5302668aa,689146,226,100,126,392,392,392,5,552d4429829a0d71b68f175fab2e8c685d649adacda39c0f5f0e074d54979298,not_computed_in_blind_development
86,0-2/7,0,HBS,0-2,2,7,0,development,0-2/7.mat,38befb3d414a8a48a8f0afd46734ac61b39c6ced09c5ed405f0c6787c650b319,1118030,383,176,207,392,392,392,5,0fe2749a6fd43b3d26150629e3e8ecc9b58cac4252be80f58eaddecca6e56233,not_computed_in_blind_development
88,0-2/9,0,HBS,0-2,2,9,3,development,0-2/9.mat,269c8bb4187d50cc6899e731cf15ec38f41659ea20957106b980873a4c0f8c9e,894042,302,149,153,392,392,392,5,12537536ca4af8e1d809b0a007a6e9d1959eec16148862e35e125de5a57b8ca5,not_computed_in_blind_development
89,0-2/10,0,HBS,0-2,2,10,1,development,0-2/10.mat,32cf85534d7a017e7bd979b3a3466f520d7597e5bcfcb52f569282ef97c777e1,852051,288,138,150,392,392,392,5,17bf49e4e9873196d80e0613316c99ea04cddefc04675ea87a665d6a7c85d5af,not_computed_in_blind_development
91,0-2/12,0,HBS,0-2,2,12,5,development,0-2/12.mat,73b14aa4ea817d8e76836b01efdd6962a0aa9ed2289d526e177c492823373caf,762326,254,126,128,392,392,392,5,2b0f3e4b0a9395e798c63b6c3925fe7af5f2a7463c8433826b93cdeba749491a,not_computed_in_blind_development
92,0-2/13,0,HBS,0-2,2,13,5,development,0-2/13.mat,a8d7cc75bd81b6cbbe55bb717a5a31806c20699f1502d46d03863d1ed0ccce4a,962119,327,157,170,392,392,392,5,8a0afe81ccacda5ab9e68abfefda2a7ed2366e43cba697dd6ffc48f544326949,not_computed_in_blind_development
93,0-2/14,0,HBS,0-2,2,14,1,development,0-2/14.mat,18d591069015629e9001ee6dfbc1add7b2ef0d66d8cd6c2531184a82533cbdf3,739435,247,119,128,392,392,392,5,4bb241eeb05ca06b53314c9112ad7c54d8c82b75d9d0331f119d3bed39073a25,not_computed_in_blind_development
94,0-2/15,0,HBS,0-2,2,15,1,development,0-2/15.mat,a3a82abf3b0388fd31c91d3a4ca2199468de5d37ef8cec74b9dd936eb214817f,663859,219,101,118,392,392,392,5,ce98361c1127220814bb634553fab6e24783d4303c3dc502e1dc53021844ccb8,not_computed_in_blind_development
95,0-2/16,0,HBS,0-2,2,16,7,development,0-2/16.mat,96f9907a2e86ace8d5629063d80125f6f28ded1ecc86c8f7489ffa87964e72d9,707361,235,112,123,392,392,392,5,61f952c725ffdb5cec94d65c63b8d612e96b8c71bf96be9b3c4cd2fc10bc111f,not_computed_in_blind_development
97,0-2/18,0,HBS,0-2,2,18,6,development,0-2/18.mat,e7a98500cbb4e120986f2e8e69bcc3539f4a69d1a53a3d18e4a55ebd1890d4f2,823361,276,132,144,392,392,392,5,06985c7683aa9d68f47347020a6d516e2f64c41cf0c248bd8701e51379d1b2f7,not_computed_in_blind_development
98,0-2/19,0,HBS,0-2,2,19,7,development,0-2/19.mat,8c7c1c79b288a06eea053855fbc48b6c870c6c004056cd69b11be08d5218f963,730411,242,116,126,392,392,392,5,89a9b21fbdf7f1a92a60263c831040a3776bb958ea030f3d32b54cccd4288526,not_computed_in_blind_development
100,0-2/21,0,HBS,0-2,2,21,3,development,0-2/21.mat,49ace03111fb12d2609eec3b29ebdf6ec739ba2ac0e599caeafd15f4d99e6f85,893899,302,150,152,392,392,392,5,b8fee8e613a13e582c826376aa5e736678ff1d0aba779d81ad86dd09e3e51f5f,not_computed_in_blind_development
101,0-2/22,0,HBS,0-2,2,22,4,development,0-2/22.mat,48c686e7aeff2738dc3886c141d63cea49a38a43d3c5ae85ac79b077b47347a1,877142,294,136,158,392,392,392,5,dab510e72ad5cfa7612ea30644a008bf383fc3e12c89170b2780a36c911e6abe,not_computed_in_blind_development
102,0-2/23,0,HBS,0-2,2,23,3,development,0-2/23.mat,bda81c3c6013745c33b4a8f52673cb1d5eec7f444d8b3d2dea28a8d568545cfc,1054358,360,178,182,392,392,392,5,1b568fb8be0ba6337cb06d91d56bca04c10e0dfd28cb62777cacdb5deed67ecb,not_computed_in_blind_development
103,0-2/24,0,HBS,0-2,2,24,2,development,0-2/24.mat,d6a84294b6926b804f1fc4e8bc71b66036488741d4fc50a6dc391ef596b570d9,839301,282,134,148,392,392,392,5,ff68b40d7631bd4512865a410e2b63952d68f9b7bf84105713b98b6ccd5e0314,not_computed_in_blind_development
104,0-2/25,0,HBS,0-2,2,25,6,development,0-2/25.mat,23a060ae18e68f801bf272493fa62c692498662b912e348437917bd6768f9f01,819099,276,132,144,392,392,392,5,959c27f8a91b919ccc418c2abbee4d58bc842f9cfbed71c7516d4914d223770c,not_computed_in_blind_development
105,0-2/26,0,HBS,0-2,2,26,2,development,0-2/26.mat,83777b2e2f8b00a71d0f834ac475660810b796edcb5e994dc05ced445aab60d8,824582,280,134,146,392,392,392,5,32368d6134ef28b56fca73f2c22926d22947b98b1be51c1dfe93746890015346,not_computed_in_blind_development
106,0-2/27,0,HBS,0-2,2,27,1,development,0-2/27.mat,865f02f0ba3e35467240b45b8f576797edd2e514dd9a7fea023ec7894e8d1876,773578,258,115,143,392,392,392,5,47b1937d35f226ab1cb85ec13ce75fd70ce84394505a9984433b03f4e30a329a,not_computed_in_blind_development
107,0-2/28,0,HBS,0-2,2,28,2,development,0-2/28.mat,2177f2f38f1b1518f0df1b206be8aae463a123a32709aa34b49e542b2b55ca05,760216,251,119,132,392,392,392,5,17d75d181efd09bcce4dbb8a64d65822fc7de698b7a1fb3df363cf00649e196e,not_computed_in_blind_development
108,0-2/29,0,HBS,0-2,2,29,4,development,0-2/29.mat,81b7137ae389831b95613a0fc80ae22e3bf2a34747cdadd6f44182b8be7d5034,777205,259,128,131,392,392,392,5,f8bc50784f720fa7c6b2b7748365f03c898dab97dd2736d37066f75094dd86d8,not_computed_in_blind_development
109,0-2/30,0,HBS,0-2,2,30,5,development,0-2/30.mat,c262edf8e8b57fa61218d0f9fe5bb9a7681144172cf42992106df92000e59f0b,904432,307,152,155,392,392,392,5,c05717e250bee9b70044b3bff2e0c0dc15dff002587a324d866b90a325118dd3,not_computed_in_blind_development
110,0-2/31,0,HBS,0-2,2,31,1,development,0-2/31.mat,a10d87ab225d6b3c86820fbdb80596d72c701c34260541a9f5e3dc2663515da9,561562,182,91,91,392,392,392,5,e09ac1bc9ce36c9fe712f6e257d120cc505ef822bcbf95e8cb7173d50b168ff2,not_computed_in_blind_development
111,0-2/32,0,HBS,0-2,2,32,6,development,0-2/32.mat,4d54e8c1282ec9982d369a1e5ded4c3f4d042585749a2ca8ec8465dc064a5157,777393,261,121,140,392,392,392,5,af2c888daadac3bb74fd8d203e29075bc05d8e6423aeded36ae4c5c607a9cdf3,not_computed_in_blind_development
