bootstrap_replicate,label_pair_position_1,label_pair_position_2,label_pair_position_3,label_pair_position_4,label_pair_position_5,label_pair_position_6,label_pair_position_7,label_pair_position_8
52,3,7,4,6,1,7,7,3
53,2,3,7,2,3,3,6,6
54,2,2,2,4,0,4,7,7
55,5,7,5,1,5,6,5,0
56,6,4,0,4,1,2,0,4
57,6,5,3,6,4,2,7,5
58,1,5,1,2,7,3,2,7
59,7,1,3,0,2,0,6,5
60,1,7,3,1,2,1,6,0
61,4,3,0,4,3,2,4,1
62,2,5,4,3,3,2,7,0
63,5,1,2,3,4,3,2,6
64,3,6,4,3,6,0,6,5
65,7,6,0,1,4,7,7,1
66,2,6,4,3,1,1,7,3
67,2,1,5,5,3,6,2,6
68,6,7,4,6,3,1,0,0
69,0,6,4,2,6,5,6,2
70,7,5,1,0,5,6,6,0
71,1,3,0,7,7,5,7,7
72,5,5,2,1,1,1,4,7
73,5,2,1,2,6,7,1,3
74,4,5,5,5,1,3,2,1
75,0,0,5,2,3,0,5,5
76,6,2,2,7,2,7,5,2
77,6,5,2,7,7,0,2,0
78,7,5,5,3,0,0,6,6
79,7,2,6,7,6,5,7,6
80,6,5,2,0,3,3,1,1
81,1,2,1,7,3,5,5,5
82,2,3,0,4,1,5,2,6
83,4,4,0,1,6,4,0,2
84,0,0,7,4,5,2,5,4
85,3,0,5,0,7,4,5,3
86,5,6,0,6,6,0,4,5
87,3,5,1,4,2,0,3,2
88,5,5,6,0,7,4,7,1
89,2,0,6,2,4,5,4,2
90,1,1,1,1,1,0,4,4
91,3,5,2,5,3,7,0,4
92,3,1,6,2,6,0,6,3
93,1,0,2,7,3,0,2,5
94,4,4,0,0,1,3,0,6
95,0,6,1,3,0,5,4,2
96,4,1,7,5,0,1,2,4
97,1,0,1,5,7,1,7,2
98,6,6,0,4,1,6,5,3
99,3,4,2,5,0,1,5,1
100,6,1,1,1,6,5,4,7
101,3,0,5,6,6,2,7,2
102,3,1,1,3,1,5,3,4
103,7,6,4,5,1,2,3,2
104,7,3,6,3,7,3,3,3
105,1,3,6,2,3,4,0,2
106,7,4,0,2,4,6,3,1
107,2,0,0,1,3,7,1,7
108,2,6,3,2,6,3,1,5
109,4,2,6,7,1,2,4,5
110,6,7,6,2,6,2,3,2
111,4,6,0,5,1,3,7,2
112,5,2,4,1,5,1,0,7
113,7,2,6,7,7,2,6,0
114,5,5,2,3,1,2,5,5
115,0,0,5,6,2,6,1,3
116,7,6,1,4,3,1,2,6
117,1,6,1,2,3,5,1,3
118,3,4,5,7,3,6,0,7
119,0,5,6,7,4,2,4,6
120,3,5,6,4,6,3,2,2
121,7,5,3,6,2,1,7,0
122,4,5,5,0,3,5,1,5
123,2,1,5,6,0,4,0,3
124,3,7,4,2,1,6,4,5
125,2,0,2,4,4,6,1,3
126,7,6,2,0,0,6,2,0
127,3,6,3,6,1,5,5,7
128,3,4,0,3,7,4,6,2
129,4,6,5,4,5,0,4,4
130,0,0,6,4,2,5,5,6
131,4,6,4,7,1,7,6,0
132,6,7,7,1,6,2,3,4
133,1,1,4,2,0,5,2,2
134,0,5,7,1,2,0,2,3
135,2,2,1,7,3,1,4,1
136,5,5,6,2,0,1,7,1
137,5,7,3,5,7,6,2,5
138,2,1,3,1,2,4,0,5
139,2,5,6,2,7,3,2,5
140,1,3,5,0,5,2,6,5
141,2,7,7,7,0,1,1,5
142,6,1,0,1,4,1,4,7
143,7,7,7,7,0,1,3,3
144,4,4,6,3,0,1,2,6
145,3,3,4,6,5,4,6,6
146,2,7,6,1,6,0,2,5
147,1,1,7,1,1,6,6,6
148,4,6,7,2,0,4,2,1
149,1,6,6,5,6,5,2,4
150,1,2,1,6,0,0,7,2
151,2,1,7,6,6,4,6,7
152,7,1,3,4,7,2,6,3
153,2,0,7,5,2,1,7,2
154,4,2,6,0,3,7,7,1
155,1,0,5,1,4,0,1,3
156,3,7,2,7,7,6,7,1
157,1,7,0,4,1,0,7,6
158,6,3,1,5,6,5,5,5
159,0,2,2,0,2,2,1,0
160,4,2,1,5,0,3,2,3
161,1,2,5,4,7,6,0,6
162,6,1,2,1,6,0,0,5
163,5,4,0,6,4,7,2,5
164,1,3,5,0,6,0,5,1
165,4,0,5,3,2,2,2,3
166,0,6,3,4,0,6,7,7
167,1,5,2,4,7,3,6,3
168,2,7,3,4,2,3,6,6
169,0,0,1,4,3,6,5,7
170,5,5,6,2,5,6,7,6
171,5,5,3,7,3,3,6,1
172,3,2,6,0,5,1,2,5
173,4,3,1,5,2,7,6,5
174,7,6,1,5,4,5,7,0
175,2,4,5,6,2,6,1,6
176,7,6,5,5,0,6,4,7
177,1,6,3,6,4,4,5,4
178,5,1,7,3,6,5,6,1
179,6,0,2,1,5,2,3,6
180,2,1,7,6,1,1,4,3
181,0,4,0,6,3,7,2,6
182,1,2,0,2,3,1,5,0
183,3,0,5,7,5,2,5,1
184,3,4,2,1,2,5,7,6
185,4,0,4,1,7,5,3,1
186,3,3,4,6,4,1,5,6
187,5,4,5,1,0,0,0,4
188,5,4,0,7,3,0,4,7
189,4,4,6,2,5,7,1,2
190,2,6,0,5,1,7,7,0
191,1,5,2,7,6,1,7,2
192,5,6,4,5,5,7,6,2
193,0,3,2,7,5,5,0,5
194,6,0,1,4,0,7,1,0
195,7,6,7,1,3,6,5,2
196,6,1,0,4,3,0,5,4
197,5,1,3,1,6,5,5,3
198,5,5,1,7,0,2,2,7
199,6,0,2,7,6,1,7,7
200,2,0,0,5,1,0,0,5
201,0,4,6,6,6,5,3,0
202,3,5,6,2,2,6,2,0
203,1,1,4,6,1,1,3,1
204,4,3,3,4,2,0,4,3
205,6,6,4,4,2,5,2,0
206,7,7,0,0,4,5,5,1
207,3,4,5,5,3,1,1,6
208,7,1,4,0,6,2,6,6
209,7,0,6,1,4,3,2,2
210,3,1,0,0,6,0,2,3
211,1,4,4,5,1,1,5,4
212,6,0,3,0,3,7,6,1
213,7,5,3,1,1,1,3,0
214,3,6,5,5,1,0,0,1
215,5,5,7,6,2,2,2,2
216,6,6,7,6,2,4,3,5
217,1,6,3,0,2,6,3,7
218,6,2,5,0,6,5,1,7
219,4,6,3,5,7,3,2,4
220,5,6,0,2,5,3,4,1
221,1,3,0,1,3,5,3,4
222,3,6,5,1,6,5,6,2
223,3,4,4,2,4,0,7,4
224,3,0,0,0,2,6,5,5
225,3,4,0,1,1,2,6,3
226,0,4,4,2,4,4,5,3
227,6,7,3,3,0,5,3,0
228,6,2,2,2,6,0,1,4
229,7,7,6,1,5,0,5,4
230,5,3,6,2,4,1,1,3
231,1,1,0,3,3,5,6,1
232,5,5,5,4,6,6,4,2
233,6,3,5,5,2,6,4,7
234,1,1,6,3,1,2,5,2
235,6,7,4,7,5,1,1,2
236,5,6,7,2,0,7,5,1
237,5,7,6,0,7,1,4,2
238,2,6,2,5,4,7,6,7
239,3,7,3,7,3,3,3,7
240,5,5,7,3,1,6,6,6
241,1,4,6,7,1,6,7,3
242,0,2,3,5,0,6,1,1
243,3,5,4,0,4,5,5,5
244,5,3,0,2,1,7,3,2
245,4,3,6,6,1,5,1,4
246,5,4,6,6,6,5,7,1
247,5,3,2,3,7,0,6,6
248,2,5,1,3,2,7,5,1
249,5,7,3,1,6,6,6,3
250,4,3,0,2,3,3,7,1
251,5,4,3,4,4,4,4,2
252,0,0,3,6,1,0,7,7
253,6,4,3,7,7,6,3,3
254,1,6,6,6,3,6,0,3
255,2,0,5,5,3,7,6,7
256,4,1,0,6,1,1,5,7
257,7,2,2,4,4,3,5,0
258,7,4,5,2,2,6,2,1
259,1,7,3,2,5,7,7,0
260,6,6,1,3,1,7,0,2
261,6,1,7,7,2,6,4,3
262,4,6,2,2,4,3,5,6
263,6,6,5,7,5,3,4,3
264,3,3,5,4,3,0,1,6
265,7,6,2,1,6,6,3,1
266,1,5,4,5,1,7,0,5
267,0,6,5,1,7,7,1,0
268,7,7,0,4,6,5,4,2
269,6,2,3,7,7,5,4,4
270,4,0,6,7,3,5,4,2
271,1,0,5,0,2,6,3,7
272,4,0,3,5,1,0,1,4
273,5,4,3,1,5,1,4,2
274,7,7,2,3,0,4,1,5
275,0,2,4,1,6,5,5,2
276,3,0,5,6,4,2,7,3
277,2,5,5,6,7,5,3,5
278,6,1,1,1,0,1,2,5
279,3,4,2,3,5,3,2,5
280,7,5,1,1,1,4,6,4
281,7,1,1,4,3,1,3,0
282,7,4,3,4,1,2,7,1
283,0,7,7,6,5,3,5,2
284,6,7,0,5,2,1,4,7
285,4,1,5,1,5,6,3,6
286,3,7,5,4,7,7,4,2
287,5,0,1,7,4,1,0,3
288,4,2,4,4,5,5,6,3
289,0,4,3,6,0,6,3,1
290,7,3,4,0,6,4,2,0
291,1,4,6,1,7,7,1,3
292,2,7,3,1,3,0,5,6
293,5,2,3,1,6,5,0,1
294,5,1,5,4,1,0,5,6
295,2,1,5,7,3,7,1,3
296,0,4,4,1,5,2,2,6
297,1,5,2,7,1,7,3,4
298,2,5,5,2,5,3,7,0
299,7,3,4,4,4,5,7,0
300,6,2,1,2,4,5,6,3
301,6,1,3,2,5,2,6,1
302,3,3,5,6,4,0,3,1
303,3,5,3,6,1,0,7,6
304,7,7,5,4,2,6,2,1
305,5,1,2,2,1,0,1,4
306,2,7,3,3,0,0,7,2
307,4,2,7,2,2,7,5,3
308,6,3,6,1,5,4,2,2
309,5,3,6,6,7,7,6,5
310,4,4,4,7,4,7,6,2
311,0,1,2,1,4,4,2,6
312,7,1,4,0,5,3,4,5
313,3,7,4,2,7,0,1,3
314,4,2,2,1,0,7,6,6
315,3,1,5,1,6,7,1,4
316,6,2,1,3,6,1,4,2
317,4,1,5,4,0,4,7,4
318,4,4,5,4,4,4,0,5
319,6,5,1,1,5,4,1,5
320,1,3,6,6,2,6,5,4
321,0,4,4,6,3,0,2,1
322,7,5,7,4,6,2,7,3
323,1,3,1,0,2,3,1,7
324,0,4,7,3,6,4,0,2
325,4,0,2,7,5,1,5,3
326,0,5,4,0,6,0,6,7
327,6,2,0,4,4,3,5,6
328,2,0,5,1,5,6,7,7
329,7,7,1,1,4,0,5,3
330,1,1,2,1,1,5,2,3
331,7,5,3,6,4,7,5,7
332,5,6,4,0,7,5,7,2
333,7,2,3,3,7,1,0,7
334,4,7,3,1,6,1,4,4
335,2,5,7,0,6,0,2,0
336,5,1,5,7,0,7,6,0
337,7,4,5,0,5,4,3,4
338,4,2,5,1,1,4,6,4
339,0,2,1,5,4,7,1,0
340,2,6,7,6,3,1,3,4
341,0,2,3,7,6,2,3,0
342,1,4,6,2,7,3,5,6
343,6,2,1,7,5,1,2,6
344,1,0,2,6,4,2,7,6
345,0,2,1,6,3,4,7,6
346,0,7,4,5,2,4,4,1
347,1,2,2,1,3,5,4,1
348,6,4,4,5,0,7,5,1
349,0,7,1,2,6,0,0,0
350,2,6,6,2,5,3,5,4
351,7,5,5,2,0,5,5,2
352,5,2,0,5,5,4,0,4
353,5,1,0,4,1,7,2,7
354,4,2,1,6,2,6,7,3
355,1,7,0,3,6,4,2,2
356,0,3,4,0,2,5,2,6
357,7,1,0,6,2,1,2,2
358,3,1,3,7,7,0,7,5
359,4,3,0,6,3,2,2,7
360,0,4,7,3,4,0,4,4
361,3,1,0,0,0,0,5,2
362,7,6,6,0,3,6,1,4
363,7,3,6,1,3,5,7,2
364,1,5,7,7,7,0,5,3
365,5,5,7,4,2,2,4,5
366,0,2,1,5,6,2,6,1
367,3,2,1,3,4,1,7,0
368,1,4,4,1,4,7,7,1
369,4,1,2,7,5,7,4,5
370,0,1,2,4,6,6,6,6
371,0,1,1,3,7,1,5,1
372,6,3,0,2,1,7,5,5
373,6,4,4,7,6,0,6,7
374,4,1,2,5,1,4,5,4
375,7,6,1,4,4,3,1,0
376,5,5,3,3,5,2,7,0
377,2,2,2,4,5,3,3,0
378,2,3,5,4,2,5,4,3
379,3,5,5,4,4,3,7,4
380,7,5,0,7,3,1,0,4
381,1,7,2,2,1,1,2,1
382,5,0,2,0,7,2,1,3
383,3,1,2,7,1,1,7,0
384,1,5,1,5,7,0,4,6
385,7,3,7,6,7,0,0,0
386,6,4,4,2,0,6,2,5
387,0,0,4,0,7,3,1,7
388,5,0,3,5,0,6,2,5
389,2,1,2,5,6,4,5,4
390,6,2,6,0,7,1,3,1
391,3,0,3,2,3,4,6,5
392,4,4,6,0,1,6,3,2
393,6,0,3,0,3,0,1,0
394,5,3,1,7,4,0,2,2
395,1,0,5,5,5,1,0,7
396,7,6,0,5,3,2,7,6
397,6,1,2,1,2,6,7,5
398,6,2,7,1,4,7,7,6
399,1,1,4,2,1,7,5,1
400,0,0,2,5,6,6,2,7
401,4,5,5,4,2,1,1,6
402,6,5,7,1,1,6,3,1
403,6,1,6,4,5,4,7,7
404,5,1,3,2,3,2,3,0
405,5,2,5,0,4,1,4,2
406,5,7,7,3,2,1,1,0
407,2,6,4,4,1,3,6,7
408,1,0,2,4,6,4,6,1
409,4,4,6,3,6,5,2,2
410,6,3,7,4,2,6,7,5
411,1,7,7,2,3,5,5,0
412,1,4,2,3,3,0,0,6
413,5,3,2,2,4,4,2,2
414,1,1,7,4,3,1,5,4
415,2,4,7,6,1,1,7,6
416,3,1,5,2,5,7,7,6
417,2,1,7,6,3,3,0,5
418,6,2,7,7,3,1,6,0
419,1,1,1,0,4,3,6,5
420,4,4,4,5,2,3,3,1
421,4,7,5,6,1,2,4,1
422,5,6,4,0,6,5,1,7
423,1,2,1,5,0,0,6,6
424,7,5,1,1,5,0,0,7
425,3,6,4,3,3,4,7,5
426,4,5,6,3,0,7,6,6
427,6,2,3,3,0,2,2,5
428,0,2,7,7,7,1,2,5
429,1,2,2,2,1,3,6,6
430,5,6,4,3,5,7,1,4
431,4,7,3,3,6,2,3,2
432,0,1,7,6,1,5,5,2
433,5,1,2,2,7,1,4,1
434,6,3,3,3,6,7,7,3
435,4,0,7,3,2,0,0,1
436,2,7,2,2,7,2,0,5
437,5,1,2,0,4,1,4,4
438,2,7,3,4,7,0,3,1
439,4,5,3,1,1,6,4,3
440,3,2,5,7,0,4,0,3
441,0,2,6,5,0,7,2,4
442,3,7,6,4,1,3,0,3
443,7,1,7,7,6,2,6,0
444,5,0,2,0,1,6,3,3
445,5,6,3,1,6,4,4,6
446,2,7,5,4,3,2,2,1
447,4,6,6,2,6,6,2,4
448,7,0,4,3,7,6,4,4
449,2,6,6,6,0,4,6,2
450,5,5,1,2,2,2,7,2
451,1,1,6,7,0,2,6,1
452,4,4,0,7,3,5,0,3
453,5,4,7,1,1,4,5,3
454,4,4,6,1,1,0,0,5
455,1,1,5,0,6,4,2,2
456,1,4,3,1,1,5,1,3
457,1,0,6,4,0,3,6,3
458,3,5,2,0,6,6,2,0
459,6,1,3,6,0,1,2,1
460,7,1,0,5,3,1,5,1
461,6,5,4,0,1,3,2,2
462,1,7,2,0,0,6,6,6
463,1,3,0,5,7,2,0,6
464,5,5,1,0,7,5,4,0
465,0,0,6,6,2,0,4,6
466,7,1,7,2,5,5,7,3
467,3,7,5,6,7,2,2,3
468,1,3,2,7,2,5,3,3
469,6,3,6,3,6,1,6,5
470,2,7,3,4,2,7,0,4
471,0,1,1,2,7,5,4,4
472,2,6,0,4,5,1,0,5
473,3,1,6,0,0,6,0,1
474,4,0,5,5,7,3,2,4
475,6,2,5,4,1,3,4,0
476,4,2,0,6,7,0,1,4
477,7,2,7,1,5,4,6,4
478,7,0,2,5,2,2,2,1
479,4,1,1,7,6,0,6,3
480,1,1,3,2,6,0,6,3
481,1,7,2,5,4,3,7,2
482,0,4,4,3,4,5,6,0
483,6,2,0,7,3,0,7,5
484,0,6,5,7,2,7,3,1
485,2,7,7,1,6,4,4,7
486,5,5,1,1,2,7,5,6
487,3,2,3,7,2,1,6,7
488,1,1,4,4,2,0,5,7
489,3,0,3,0,1,7,2,6
490,7,0,6,3,7,7,4,2
491,2,4,4,7,0,3,0,3
492,7,6,0,7,7,6,3,3
493,0,4,5,1,4,7,6,4
494,6,3,3,6,6,3,5,3
495,7,3,7,6,1,1,6,1
496,2,6,7,6,1,5,7,1
497,2,1,7,1,6,1,2,5
498,1,3,6,5,1,3,1,2
499,0,4,4,0,4,2,4,5
500,7,1,7,1,3,5,4,2
501,0,1,3,3,5,6,7,1
502,5,0,6,1,3,0,6,0
503,1,6,1,7,6,6,6,0
504,2,5,5,3,6,5,4,2
505,1,3,2,4,1,6,3,5
506,5,6,0,3,5,3,3,4
507,7,0,5,3,0,0,3,3
508,1,0,4,0,7,4,1,0
509,4,7,7,6,4,2,7,5
510,2,6,6,6,4,6,6,2
511,6,4,3,2,0,2,2,4
512,1,4,6,6,6,2,6,7
513,5,5,5,3,6,1,6,0
514,6,6,5,1,2,7,4,3
515,1,3,0,1,0,0,4,4
516,5,1,2,5,3,7,5,5
517,6,7,7,0,7,2,4,3
518,0,7,7,1,2,4,1,7
519,7,2,2,3,7,6,6,4
520,0,4,0,3,4,2,1,2
521,3,2,5,0,5,0,0,2
522,4,6,0,2,5,6,7,4
523,7,3,1,6,2,2,0,6
524,1,7,2,2,6,7,5,5
525,3,7,0,4,2,6,1,3
526,3,6,1,7,2,6,4,0
527,3,6,5,2,3,4,0,4
528,3,3,1,6,6,0,0,1
529,1,2,5,6,2,1,7,5
530,5,6,5,0,3,4,6,6
531,2,3,3,1,0,0,5,4
532,6,0,4,4,3,5,0,4
533,4,4,1,5,2,6,6,4
534,4,0,2,7,4,4,1,3
535,3,3,3,4,4,4,3,3
536,1,5,4,6,0,5,6,6
537,0,3,7,6,6,7,6,2
538,5,2,4,7,2,1,2,1
539,7,0,5,4,1,6,1,7
540,3,2,6,5,4,7,4,4
541,2,7,4,3,2,7,5,3
542,7,7,1,2,4,7,5,2
543,4,1,4,1,6,7,0,0
544,4,4,6,2,6,0,6,4
545,7,3,4,0,7,7,3,2
546,3,6,0,3,1,6,5,5
547,6,1,6,7,5,0,1,7
548,6,0,1,6,4,4,0,3
549,5,3,4,4,4,5,2,4
550,0,6,4,4,1,6,1,1
551,4,6,3,6,1,2,1,4
552,0,7,7,7,3,2,3,4
553,5,4,6,4,4,7,5,3
554,5,1,7,6,5,7,3,6
555,6,7,7,3,7,7,1,2
556,4,5,3,4,1,1,7,0
557,3,1,4,4,4,7,2,0
558,0,4,4,6,2,7,2,5
559,7,1,1,4,4,6,4,4
560,0,3,3,3,3,4,0,0
561,3,3,5,1,6,3,1,5
562,3,3,1,5,3,4,2,2
563,7,7,0,3,6,1,1,3
564,0,3,5,6,5,2,3,2
565,6,0,3,2,4,3,5,3
566,7,4,7,6,2,7,2,4
567,6,7,2,6,7,3,1,2
568,3,7,2,5,3,4,7,2
569,6,0,1,7,0,2,2,1
570,4,3,2,1,7,0,6,2
571,1,3,6,0,2,2,5,4
572,7,4,2,4,0,0,7,2
573,4,5,0,2,5,1,0,4
574,4,7,1,0,7,0,7,6
575,0,4,3,2,2,0,6,3
576,4,6,7,0,7,2,4,5
577,2,4,2,5,7,2,6,5
578,0,2,4,7,0,1,7,0
579,7,3,0,5,4,3,5,0
580,5,6,1,1,4,6,1,4
581,3,0,4,6,6,6,1,7
582,0,0,4,5,5,0,6,7
583,5,2,0,5,4,4,2,2
584,2,5,4,3,1,4,5,6
585,6,1,2,4,4,0,3,0
586,2,7,7,5,2,7,6,1
587,2,2,0,5,4,2,0,5
588,6,5,6,5,7,4,7,4
589,6,2,0,1,5,0,6,3
590,5,3,6,2,3,6,3,4
591,1,5,2,3,2,3,2,4
592,7,4,7,4,6,6,4,2
593,3,1,3,7,6,7,0,4
594,5,2,3,4,0,1,6,6
595,3,0,3,4,7,6,2,6
596,6,6,0,3,6,0,7,3
597,4,2,3,4,7,3,6,3
598,4,3,0,0,1,7,1,1
599,2,1,6,5,3,6,7,4
600,4,2,0,3,3,0,7,1
601,7,5,0,7,0,4,6,6
602,2,3,5,7,1,7,5,6
603,3,4,3,7,4,0,3,1
604,6,0,4,4,2,3,5,4
605,0,3,4,3,0,6,3,1
606,1,3,1,4,7,7,0,3
607,3,4,2,2,2,1,3,3
608,2,2,7,3,4,6,7,0
609,2,6,4,1,1,7,6,2
610,4,7,6,6,4,1,0,0
611,6,6,7,5,2,4,5,1
612,7,3,0,6,4,5,1,0
613,0,0,7,3,2,0,6,3
614,4,0,4,4,0,7,6,4
615,0,4,0,2,0,1,4,1
616,6,0,5,4,7,7,0,3
617,5,0,3,4,2,1,3,3
618,5,0,7,1,5,6,0,6
619,5,5,7,0,6,4,2,0
620,6,7,0,5,5,4,1,3
621,4,6,4,1,5,5,2,4
622,1,3,2,4,5,3,3,2
623,3,6,5,7,0,7,7,6
624,0,2,5,6,0,0,1,2
625,1,7,4,1,2,7,3,1
626,1,2,7,7,3,6,4,2
627,4,2,2,7,1,5,0,1
628,2,2,1,0,5,6,1,5
629,0,7,3,0,2,1,5,7
630,2,3,5,5,1,1,2,4
631,7,3,5,5,4,0,4,4
632,3,0,6,0,1,6,3,0
633,3,7,5,0,6,2,1,2
634,7,0,4,4,4,1,6,7
635,4,7,2,3,6,1,5,4
636,2,2,5,2,6,0,0,4
637,2,7,3,3,5,5,6,3
638,7,5,2,2,0,3,7,5
639,6,4,1,2,7,3,2,3
640,4,3,4,1,4,1,3,4
641,4,3,5,3,0,3,7,4
642,5,5,1,2,3,5,2,3
643,6,2,3,0,5,4,0,3
644,5,6,0,3,6,3,0,3
645,7,7,6,5,2,2,3,6
646,0,5,2,5,3,7,4,7
647,4,7,2,1,2,4,3,3
648,7,3,3,6,3,5,0,2
649,3,6,3,7,3,1,3,5
650,6,5,5,2,3,0,6,0
651,1,7,0,1,0,6,6,1
652,4,7,0,4,0,0,2,3
653,2,0,5,0,3,6,2,3
654,6,2,4,3,4,7,6,6
655,3,3,6,0,0,5,2,6
656,3,4,0,0,3,3,3,5
657,2,4,1,2,7,0,4,7
658,2,4,0,1,5,5,7,7
659,2,5,7,2,0,4,5,5
660,4,7,1,2,3,4,0,2
661,2,4,0,6,0,1,4,7
662,7,4,3,4,4,6,4,3
663,5,4,0,1,2,4,1,3
664,5,5,3,1,6,4,2,4
665,5,2,7,3,2,6,6,4
666,4,6,2,0,4,6,2,0
667,0,4,4,1,7,0,2,4
668,0,0,2,5,4,5,4,3
669,4,2,5,0,5,6,6,6
670,3,7,6,6,7,2,3,4
671,6,3,7,2,7,0,4,1
672,4,5,7,3,2,6,0,6
673,5,5,1,5,5,3,4,7
674,3,1,3,5,6,4,7,1
675,4,7,2,1,4,4,3,3
676,1,6,1,3,4,2,2,6
677,0,5,3,2,1,0,1,0
678,3,6,3,7,0,0,3,7
679,7,0,4,5,1,3,1,2
680,4,1,3,0,5,6,1,1
681,0,4,6,6,1,7,5,6
682,7,4,3,2,5,0,3,2
683,7,7,2,2,4,3,7,6
684,0,6,3,3,7,0,2,5
685,7,0,1,6,5,7,1,4
686,3,7,2,7,7,7,4,3
687,3,3,0,0,2,3,1,0
688,0,1,5,1,1,5,6,6
689,0,4,2,1,3,0,6,4
690,0,7,2,7,7,7,3,3
691,6,6,3,3,6,4,2,7
692,0,7,5,5,7,2,5,5
693,7,5,2,2,4,4,6,0
694,4,5,5,1,5,3,6,5
695,2,1,7,2,4,2,0,5
696,2,7,3,5,6,7,4,2
697,5,0,2,1,3,2,4,6
698,7,5,1,2,2,3,3,2
699,3,6,1,7,1,3,4,5
700,7,7,0,0,5,3,1,3
701,5,2,6,3,3,7,0,7
702,7,5,0,3,0,1,2,4
703,2,2,4,3,5,3,4,7
704,7,2,7,6,4,4,4,3
705,0,2,3,6,6,7,2,2
706,5,4,5,2,7,3,3,4
707,5,4,3,5,1,2,0,0
708,6,0,3,6,4,2,1,2
709,1,6,4,4,1,4,2,7
710,1,3,4,1,1,6,2,4
711,4,7,1,1,1,2,7,0
712,3,1,7,5,2,7,0,1
713,2,6,4,6,0,5,6,7
714,4,2,5,2,0,1,6,2
715,1,5,4,1,5,0,7,1
716,1,3,0,2,6,7,2,4
717,7,6,6,2,4,3,3,3
718,2,3,5,2,6,1,6,5
719,1,6,0,6,5,2,7,0
720,1,2,2,6,5,6,5,0
721,4,6,6,2,0,5,3,7
722,6,0,4,7,4,6,6,6
723,6,3,6,5,5,2,1,4
724,5,0,5,7,1,4,3,3
725,6,3,1,5,0,3,3,3
726,6,1,2,2,1,1,5,1
727,1,2,3,0,4,5,1,7
728,2,4,3,6,5,5,3,2
729,1,3,3,6,0,1,4,3
730,0,0,5,2,5,2,5,7
731,0,1,1,7,6,2,7,6
732,4,5,2,1,7,2,4,0
733,1,0,5,7,4,5,5,4
734,3,7,4,3,3,6,3,2
735,6,0,7,6,5,0,5,1
736,3,0,6,3,1,3,0,3
737,2,5,3,5,5,1,7,5
738,5,1,3,1,5,3,4,5
739,7,5,5,3,1,6,5,7
740,2,1,1,2,6,0,5,6
741,4,6,1,1,6,6,2,4
742,7,4,3,1,7,0,1,2
743,0,3,1,6,4,0,4,6
744,6,5,0,1,1,0,4,3
745,7,5,4,6,7,0,6,3
746,3,2,4,6,2,0,3,3
747,3,1,3,2,7,1,4,2
748,5,4,2,2,3,0,2,6
749,6,2,3,1,7,6,2,6
750,5,7,4,2,3,4,6,6
751,1,4,0,4,4,5,3,0
752,3,5,1,6,2,0,7,2
753,4,7,6,2,6,4,6,0
754,1,6,3,2,0,3,5,3
755,5,1,3,7,1,6,5,6
756,0,3,6,0,4,4,2,3
757,2,7,3,7,6,0,5,4
758,7,3,2,6,7,7,3,0
759,3,2,7,7,2,5,6,2
760,5,4,4,4,0,0,5,1
761,4,3,6,4,0,5,2,0
762,4,0,1,6,2,7,3,0
763,7,1,4,4,3,7,3,2
764,2,4,7,1,7,0,2,6
765,2,2,3,3,0,5,5,0
766,0,1,6,1,7,2,3,7
767,5,6,0,5,7,2,7,3
768,6,1,0,7,4,3,6,2
